x_from=50000
x_to=50100
now is 2014-03-10.01:43:58
50000^51 + 8351^71
50000^47 + 45941^81
50000^24 + 46043^7
50000^6 + 14781^19
50000^59 + 11667^61
50000^43 + 8593^48
50000^61 + 11703^31
50000^85 + 46239^10
50000^34 + 14927^97
50000^89 + 14993^43
50000^80 + 8799^6
50000^96 + 46527^17
50000^40 + 12149^22
50000^43 + 15377^94
50000^79 + 46977^71
50000^89 + 47051^12
50000^77 + 15711^19
50000^16 + 15727^3
50000^83 + 47101^26
50000^91 + 47133^59
50000^67 + 18983^43
50000^38 + 15841^46
50000^95 + 47243^7
50000^29 + 19157^79
50000^88 + 22243^33
50000^29 + 19249^56
50000^43 + 16093^96
50000^40 + 19347^55
50000^87 + 47603^94
50000^79 + 16263^69
50000^86 + 47681^58
50000^83 + 47683^99
50000^42 + 19543^71
50000^85 + 16419^26
50000^81 + 19701^78
50000^14 + 19861^35
50000^44 + 22937^97
50000^27 + 19939^60
50000^76 + 23053^31
50000^34 + 48251^75
50000^88 + 48277^35
50000^98 + 16961^15
50000^91 + 48357^71
50000^62 + 23217^89
50000^14 + 48483^98
50000^39 + 48561^56
50000^44 + 17277^75
50000^64 + 17297^12
50000^96 + 17307^34
50000^44 + 17339^25
50000^27 + 17479^69
50000^77 + 20719^72
50000^25 + 23739^17
50000^14 + 20777^18
50000^81 + 23817^88
50000^69 + 48953^73
50000^32 + 17763^75
50000^43 + 20971^29
50000^31 + 49123^79
50000^77 + 24077^9
50000^33 + 24117^30
50000^80 + 17917^83
50000^99 + 21149^31
50000^12 + 49273^10
50000^11 + 17969^27
50000^28 + 17991^22
50000^22 + 49329^74
50000^65 + 49349^40
50000^58 + 24371^80
50000^92 + 21407^47
50000^90 + 24431^37
50000^56 + 21437^71
50000^44 + 18377^46
50000^11 + 21619^5
50000^86 + 49833^4
50000^7 + 49867^69
50000^66 + 21793^31
50000^57 + 24907^44
x=50000
Elapsed: 10.5 seconds
50001^93 + 18796^14
50001^14 + 25090^98
50001^42 + 18896^52
50001^71 + 12626^93
50001^14 + 190^10
50001^64 + 18953^21
50001^80 + 12701^34
y=19000
50001^19 + 12776^29
50001^53 + 12802^54
50001^81 + 25442^91
y=13000
50001^22 + 547^73
50001^69 + 556^93
50001^59 + 557^98
50001^32 + 25570^96
50001^75 + 13144^75
50001^95 + 25685^30
50001^27 + 13171^22
50001^20 + 25721^67
50001^31 + 13228^47
50001^31 + 19561^14
50001^51 + 19622^46
50001^88 + 893^89
50001^70 + 19678^99
50001^59 + 19696^73
y=1000
50001^75 + 25993^63
y=26000
50001^81 + 19804^72
50001^13 + 26053^79
50001^92 + 26104^97
50001^28 + 19909^46
50001^25 + 1177^71
50001^59 + 26147^39
50001^30 + 13606^97
50001^59 + 1202^96
50001^4 + 1258^11
50001^59 + 26224^96
y=20000
50001^75 + 26242^44
50001^14 + 20095^50
50001^48 + 13820^46
50001^88 + 26402^47
50001^17 + 26405^92
50001^7 + 13871^52
50001^66 + 20219^58
50001^3 + 1654^98
50001^56 + 20435^9
50001^57 + 20449^52
50001^61 + 14179^38
50001^76 + 14242^76
50001^58 + 14249^79
50001^76 + 1916^38
50001^20 + 14327^69
y=2000
50001^34 + 26924^43
50001^9 + 14410^18
50001^69 + 26965^7
50001^85 + 20744^38
50001^98 + 14470^96
50001^99 + 2087^45
50001^72 + 27011^79
50001^78 + 27019^77
50001^89 + 27023^47
50001^100 + 20812^8
50001^4 + 20903^94
50001^71 + 2242^7
50001^20 + 27262^69
50001^50 + 2384^25
50001^39 + 2428^39
50001^62 + 21125^38
50001^87 + 14914^32
50001^24 + 21200^85
50001^19 + 15016^89
50001^77 + 15020^33
50001^98 + 27530^10
50001^81 + 2647^51
50001^77 + 27583^50
50001^35 + 27631^75
50001^36 + 21431^55
50001^85 + 2804^64
50001^42 + 27740^19
50001^59 + 2840^70
50001^56 + 27847^83
50001^100 + 21692^13
50001^51 + 21710^69
50001^28 + 3070^15
50001^58 + 15578^16
50001^41 + 28109^18
50001^58 + 15601^74
50001^83 + 15632^94
50001^47 + 15692^91
50001^19 + 15695^20
y=22000
50001^62 + 15746^60
50001^74 + 28310^39
50001^35 + 15782^22
50001^60 + 22060^51
50001^65 + 22100^30
50001^43 + 3379^31
50001^96 + 3383^55
50001^5 + 3404^94
50001^19 + 3448^4
50001^31 + 28450^78
50001^95 + 15920^65
50001^31 + 28466^37
50001^24 + 3536^5
50001^29 + 22262^36
50001^48 + 28538^96
y=16000
50001^20 + 16162^42
50001^22 + 3727^39
50001^77 + 16178^65
50001^55 + 16202^20
50001^91 + 22489^69
50001^50 + 3790^8
50001^100 + 22546^82
50001^84 + 22553^61
50001^100 + 3841^99
50001^19 + 3847^52
50001^69 + 16321^59
50001^61 + 22595^38
50001^97 + 3874^25
50001^71 + 16346^49
50001^88 + 28957^30
50001^100 + 3982^69
50001^92 + 16433^67
y=4000
y=29000
50001^10 + 16447^23
50001^6 + 4057^28
50001^51 + 16544^94
50001^98 + 16609^4
50001^19 + 4222^42
50001^25 + 4226^13
50001^86 + 4238^74
y=23000
50001^16 + 16697^35
50001^50 + 29404^72
50001^34 + 16931^38
50001^86 + 16957^33
50001^60 + 16969^69
50001^35 + 29546^98
y=17000
50001^89 + 23372^72
50001^20 + 4664^25
50001^76 + 4693^29
50001^41 + 4709^19
50001^69 + 29677^65
50001^34 + 29686^49
50001^43 + 17183^20
50001^38 + 17198^59
50001^38 + 23537^31
50001^52 + 23594^38
50001^33 + 4895^24
50001^77 + 17299^77
50001^11 + 23675^22
50001^57 + 17336^46
50001^61 + 4961^71
50001^21 + 4964^15
50001^24 + 23731^30
y=5000
50001^84 + 5041^93
50001^26 + 23830^100
50001^59 + 17480^90
50001^11 + 30071^90
50001^97 + 23930^86
50001^37 + 30172^58
50001^57 + 30193^96
50001^55 + 17666^25
50001^99 + 30229^23
50001^89 + 5321^22
50001^12 + 5342^13
50001^56 + 17707^54
50001^54 + 5405^84
50001^15 + 24181^17
50001^66 + 5455^55
50001^53 + 30451^13
50001^7 + 30605^80
50001^24 + 5785^7
50001^44 + 5785^32
50001^83 + 24560^93
50001^86 + 30773^50
50001^86 + 18244^64
50001^89 + 5932^22
50001^87 + 24694^19
50001^68 + 5989^77
50001^90 + 30911^69
50001^11 + 24767^97
y=31000
50001^42 + 31028^66
50001^12 + 31076^11
50001^83 + 6206^25
y=25000
50001^24 + 18572^95
50001^25 + 9406^64
50001^7 + 31186^52
50001^68 + 31195^14
50001^29 + 6304^89
50001^78 + 6341^29
50001^79 + 9461^63
50001^69 + 6428^69
50001^15 + 37540^89
50001^49 + 6548^23
50001^70 + 9661^94
50001^39 + 6749^30
50001^16 + 31741^27
50001^95 + 31747^38
50001^78 + 10000^59
y=10000
50001^92 + 31793^78
50001^32 + 37930^100
50001^76 + 31820^62
50001^66 + 10106^11
50001^99 + 31870^94
50001^8 + 31873^87
y=38000
50001^89 + 7048^75
50001^87 + 31954^85
50001^68 + 31963^100
50001^22 + 31996^28
y=32000
50001^20 + 38144^77
50001^51 + 38176^80
50001^12 + 32056^4
50001^76 + 7178^33
50001^34 + 10306^44
50001^26 + 38264^60
50001^82 + 7270^89
50001^93 + 10414^28
50001^55 + 10432^45
50001^17 + 32234^34
50001^34 + 7375^96
50001^92 + 38392^90
50001^20 + 7505^99
50001^45 + 32378^26
50001^96 + 7528^24
50001^38 + 32458^39
50001^29 + 38597^25
50001^84 + 38648^3
50001^18 + 10781^67
50001^35 + 10786^62
50001^96 + 38702^63
50001^38 + 38740^86
50001^8 + 7802^96
50001^40 + 7820^28
50001^19 + 38824^74
50001^12 + 38848^64
50001^60 + 10964^11
y=11000
50001^92 + 7997^75
y=8000
50001^47 + 8126^94
50001^38 + 8156^5
50001^15 + 39164^37
50001^49 + 11455^81
50001^18 + 39428^68
50001^29 + 33382^12
50001^96 + 8581^77
50001^41 + 33421^80
50001^11 + 8594^21
50001^26 + 11702^68
50001^7 + 11785^3
50001^32 + 8704^27
50001^59 + 39736^60
50001^74 + 33613^41
50001^38 + 33655^90
50001^18 + 12088^46
y=40000
50001^60 + 40070^4
50001^47 + 12191^16
50001^96 + 33983^62
y=34000
50001^84 + 9242^65
50001^35 + 9256^65
50001^99 + 40199^53
50001^67 + 40232^62
50001^21 + 40240^59
50001^28 + 40244^90
50001^18 + 34085^79
50001^8 + 12380^24
50001^40 + 34228^27
50001^73 + 40409^19
50001^97 + 34423^12
50001^73 + 35975^30
50001^14 + 36100^5
50001^12 + 36236^9
50001^60 + 34693^87
50001^31 + 34735^74
50001^91 + 43912^34
50001^96 + 43948^29
50001^64 + 36412^32
50001^91 + 36419^73
y=44000
50001^43 + 44005^91
50001^29 + 40937^71
50001^78 + 40967^15
50001^16 + 36535^96
y=41000
50001^20 + 35053^3
50001^100 + 44215^87
50001^91 + 44230^31
50001^94 + 36692^62
50001^40 + 44257^64
50001^36 + 44258^4
50001^9 + 36755^47
50001^17 + 35228^99
50001^61 + 36770^91
50001^83 + 44360^19
50001^22 + 44452^18
50001^40 + 44510^47
50001^30 + 35444^68
50001^6 + 41483^22
y=37000
50001^76 + 35491^69
50001^40 + 37043^75
50001^96 + 35549^81
50001^86 + 35566^39
50001^51 + 41633^56
50001^43 + 41675^24
50001^93 + 41744^89
50001^71 + 44915^61
50001^90 + 44921^27
50001^37 + 41873^69
50001^53 + 35858^49
50001^27 + 41893^84
50001^91 + 44998^23
50001^10 + 35873^95
50001^4 + 37433^53
50001^30 + 37462^31
50001^84 + 45086^26
50001^23 + 37486^77
50001^99 + 42257^76
50001^70 + 42263^13
50001^62 + 42125^56
50001^31 + 46981^23
50001^69 + 46981^77
50001^91 + 42295^95
y=47000
50001^13 + 48541^23
50001^80 + 45470^7
50001^44 + 42541^58
50001^51 + 42551^75
50001^76 + 42718^69
50001^46 + 42725^31
50001^79 + 47426^23
50001^85 + 47491^42
50001^57 + 47548^93
50001^7 + 45835^83
50001^69 + 47662^35
50001^41 + 47675^80
y=43000
50001^98 + 45988^57
50001^7 + 47749^60
y=46000
50001^27 + 47771^86
50001^30 + 43079^13
50001^75 + 49157^8
50001^12 + 49193^17
50001^54 + 47872^24
50001^49 + 49384^52
50001^86 + 46307^73
50001^66 + 43405^32
50001^70 + 49564^83
50001^88 + 48296^88
50001^83 + 49738^72
50001^74 + 49757^60
50001^76 + 49769^93
50001^51 + 48424^75
50001^50 + 46742^62
50001^44 + 49853^80
y=50000
50002^11 + 18813^53
50002^31 + 25081^40
50002^76 + 12625^37
50002^94 + 205^96
50002^98 + 25211^32
50002^40 + 241^52
50002^42 + 19087^55
50002^23 + 25345^86
50002^8 + 25353^58
50002^16 + 373^87
50002^25 + 19157^53
50002^15 + 421^30
50002^69 + 433^62
50002^83 + 25439^25
50002^91 + 467^96
50002^12 + 499^59
50002^93 + 13013^53
50002^20 + 631^24
50002^48 + 645^52
50002^95 + 13187^73
50002^85 + 13201^55
50002^50 + 737^62
50002^71 + 765^8
50002^38 + 791^73
50002^92 + 19541^25
50002^40 + 25761^63
50002^25 + 19567^65
50002^10 + 19575^95
50002^99 + 19577^61
50002^53 + 13283^85
50002^100 + 25825^58
50002^38 + 19809^15
50002^99 + 26029^58
50002^93 + 13677^52
50002^83 + 26181^27
50002^64 + 26191^16
50002^34 + 20077^32
50002^15 + 26323^87
50002^14 + 1407^77
50002^72 + 13927^22
50002^37 + 26513^68
50002^43 + 26517^35
50002^38 + 1595^57
50002^76 + 14107^69
50002^73 + 14141^85
50002^44 + 20471^44
50002^94 + 20485^19
50002^98 + 1757^59
50002^9 + 26711^21
50002^59 + 26763^45
50002^56 + 26773^86
50002^39 + 20647^44
50002^84 + 14337^86
50002^63 + 2013^51
50002^71 + 26967^88
50002^34 + 14575^35
50002^14 + 27129^57
50002^69 + 20947^92
50002^91 + 27239^37
50002^52 + 21059^28
50002^42 + 27293^96
50002^65 + 14805^28
50002^83 + 21127^23
50002^35 + 2449^77
50002^77 + 2543^3
50002^98 + 27521^79
50002^43 + 15051^3
50002^53 + 15127^69
50002^99 + 21465^46
50002^34 + 2719^15
50002^52 + 27759^63
50002^68 + 15247^22
50002^72 + 2927^76
50002^8 + 21685^20
50002^87 + 3005^49
50002^7 + 28041^59
50002^71 + 21869^60
50002^19 + 28163^54
50002^19 + 28243^90
50002^70 + 22133^61
50002^45 + 28445^100
50002^46 + 28455^74
50002^27 + 22275^57
50002^8 + 22397^33
50002^58 + 3735^60
50002^39 + 3775^9
50002^61 + 3829^25
50002^59 + 16209^67
50002^55 + 3873^25
50002^34 + 3939^4
50002^77 + 22693^34
50002^39 + 16387^47
50002^15 + 22807^90
50002^61 + 29005^28
50002^11 + 16471^28
50002^46 + 16501^70
50002^17 + 22965^31
50002^43 + 4273^52
50002^43 + 16627^45
50002^16 + 29217^85
50002^73 + 16705^58
50002^3 + 4397^41
50002^80 + 23179^85
50002^52 + 29367^3
50002^54 + 29373^22
50002^14 + 16891^65
50002^61 + 4609^8
50002^22 + 4759^76
50002^33 + 4825^80
50002^32 + 4833^46
50002^33 + 29749^33
50002^99 + 23637^34
50002^82 + 17235^42
50002^77 + 4971^55
50002^16 + 4981^65
50002^80 + 4997^91
50002^46 + 17289^45
50002^80 + 17345^90
50002^55 + 5091^80
50002^90 + 5093^5
50002^94 + 17407^40
50002^35 + 24067^38
50002^97 + 5323^84
50002^99 + 17703^90
50002^99 + 17759^61
50002^85 + 30401^79
50002^22 + 17787^18
50002^19 + 17895^14
50002^6 + 24409^34
50002^70 + 30559^70
50002^58 + 17975^56
50002^3 + 30643^55
50002^57 + 18085^62
50002^28 + 18173^3
50002^78 + 18175^13
50002^37 + 18177^14
50002^26 + 30801^3
50002^86 + 30915^97
50002^13 + 24785^61
50002^77 + 6043^80
50002^90 + 31151^59
50002^72 + 37527^27
50002^46 + 6263^8
50002^10 + 6291^24
50002^72 + 6329^68
50002^69 + 37653^28
50002^71 + 18677^14
50002^75 + 18679^25
50002^18 + 37677^57
50002^73 + 31463^54
50002^97 + 34451^36
50002^51 + 6593^8
50002^53 + 6673^32
50002^43 + 6687^17
50002^87 + 31733^62
50002^32 + 38095^34
50002^15 + 38187^18
50002^79 + 38229^33
50002^3 + 7069^66
50002^49 + 38389^21
50002^74 + 32071^70
50002^23 + 38463^71
50002^79 + 35143^68
50002^54 + 38563^83
50002^9 + 38717^80
50002^44 + 38733^31
50002^78 + 38733^79
50002^59 + 38737^78
50002^21 + 32509^91
50002^8 + 7555^11
50002^29 + 38873^62
50002^23 + 38901^42
50002^5 + 7815^100
50002^18 + 32809^38
50002^35 + 32827^68
50002^25 + 35801^22
50002^47 + 35809^88
50002^26 + 39235^14
50002^42 + 7937^60
50002^38 + 32929^47
50002^92 + 32941^67
50002^85 + 35917^75
50002^74 + 33029^14
50002^3 + 8107^6
50002^25 + 39489^50
50002^7 + 36111^23
50002^48 + 36155^58
50002^35 + 8259^50
50002^95 + 39701^43
50002^46 + 39717^96
50002^38 + 36395^57
50002^41 + 39775^23
50002^82 + 39791^86
50002^71 + 33479^34
50002^10 + 39873^78
50002^61 + 36563^76
50002^100 + 33581^37
50002^70 + 33613^9
50002^15 + 36627^66
50002^88 + 33667^14
50002^57 + 36701^64
50002^52 + 40087^54
50002^33 + 8793^59
50002^23 + 8813^63
50002^86 + 8863^41
50002^50 + 33923^96
50002^65 + 40275^73
50002^9 + 40439^24
50002^74 + 9103^73
50002^5 + 40485^25
50002^78 + 9179^15
50002^85 + 37197^15
50002^97 + 37285^100
50002^16 + 9327^85
50002^65 + 40721^89
50002^42 + 43753^98
50002^82 + 9387^95
50002^67 + 9391^28
50002^81 + 43833^36
50002^76 + 40811^39
50002^85 + 43947^11
50002^17 + 40935^48
50002^51 + 9577^64
50002^76 + 44005^80
50002^10 + 44021^65
50002^55 + 41053^38
50002^32 + 41075^20
50002^13 + 44115^87
50002^91 + 44135^87
50002^56 + 41145^39
50002^52 + 9795^39
50002^55 + 9823^35
50002^30 + 41215^53
50002^47 + 9895^57
50002^4 + 41385^16
50002^94 + 10011^80
50002^41 + 10013^24
50002^88 + 10015^63
50002^8 + 41467^52
50002^40 + 44545^76
50002^30 + 41509^88
50002^11 + 42831^59
50002^24 + 44659^21
50002^100 + 42873^66
50002^59 + 41639^24
50002^33 + 42903^64
50002^51 + 44777^8
50002^8 + 10347^44
50002^53 + 44831^92
50002^24 + 41853^87
50002^81 + 41875^90
50002^90 + 41889^74
50002^96 + 45017^74
50002^94 + 42025^48
50002^65 + 43293^39
50002^9 + 45079^22
50002^58 + 45355^67
50002^69 + 45395^70
50002^31 + 45397^56
50002^74 + 10983^17
50002^27 + 11007^63
50002^94 + 11097^93
50002^14 + 47337^95
50002^41 + 48649^23
50002^16 + 45731^29
50002^55 + 45753^34
50002^19 + 11435^18
50002^23 + 11511^73
50002^100 + 11513^5
50002^48 + 47533^4
50002^40 + 48905^61
50002^26 + 11585^11
50002^49 + 47613^81
50002^70 + 11603^19
50002^54 + 46039^25
50002^49 + 47727^79
50002^22 + 49099^42
50002^31 + 49155^12
50002^30 + 11883^96
50002^86 + 47993^94
50002^99 + 48035^78
50002^90 + 48099^81
50002^58 + 48183^94
50002^58 + 49537^8
50002^34 + 12187^86
50002^63 + 49555^24
50002^57 + 12195^89
50002^81 + 12247^88
50002^63 + 12281^98
50002^77 + 12331^98
50002^43 + 12395^30
50002^14 + 12419^79
50002^55 + 12425^66
50002^62 + 49823^61
50002^38 + 49875^49
50002^53 + 46865^95
50002^93 + 49977^77
50003^92 + 6264^9
50003^90 + 25033^28
50003^100 + 25040^24
50003^91 + 58^18
50003^77 + 25164^54
50003^71 + 12660^96
50003^36 + 180^58
50003^100 + 12677^58
50003^96 + 206^52
50003^53 + 6542^26
50003^87 + 6575^89
50003^60 + 12836^5
50003^5 + 6621^63
50003^7 + 25371^9
50003^42 + 12868^4
50003^23 + 6675^49
50003^82 + 6688^84
50003^22 + 6709^84
50003^7 + 475^50
50003^8 + 25493^99
50003^19 + 6751^77
50003^85 + 12973^33
y=13000
50003^52 + 6782^93
50003^47 + 25542^55
50003^91 + 6808^88
50003^6 + 25564^17
50003^98 + 13054^82
50003^29 + 6850^57
50003^29 + 613^18
50003^60 + 25601^82
50003^91 + 633^33
50003^63 + 6890^3
50003^67 + 13105^7
50003^54 + 13167^85
50003^55 + 760^68
y=7000
50003^47 + 7013^39
50003^13 + 7020^78
50003^76 + 7022^11
50003^100 + 7035^15
50003^68 + 803^16
50003^4 + 13286^92
50003^36 + 13286^97
50003^57 + 879^94
50003^26 + 13348^13
50003^7 + 13360^18
50003^32 + 964^3
50003^64 + 25918^25
y=1000
50003^37 + 7238^82
50003^24 + 25968^44
50003^25 + 25985^8
50003^75 + 25994^4
y=26000
50003^55 + 7280^47
50003^68 + 7297^63
50003^78 + 1104^92
50003^34 + 7335^75
50003^89 + 26066^70
50003^27 + 7353^20
50003^70 + 13564^4
50003^42 + 13576^46
50003^97 + 1185^21
50003^49 + 13621^21
50003^43 + 13625^76
50003^35 + 7434^67
50003^76 + 7436^69
50003^98 + 1233^77
50003^48 + 7476^30
50003^63 + 26197^83
50003^100 + 26218^78
50003^30 + 13722^37
50003^38 + 13798^57
50003^21 + 13801^21
50003^86 + 1405^8
50003^49 + 26450^31
50003^92 + 1526^26
y=14000
50003^3 + 14008^10
50003^46 + 1603^40
50003^92 + 1617^98
50003^98 + 26575^46
50003^69 + 14097^85
50003^9 + 26620^31
50003^91 + 1687^93
50003^6 + 26639^64
50003^55 + 7933^84
50003^99 + 7938^84
50003^18 + 14178^59
50003^100 + 14196^42
50003^19 + 7991^43
y=8000
50003^53 + 14239^24
50003^51 + 26759^32
50003^21 + 14282^63
50003^73 + 8069^50
50003^91 + 14312^7
50003^10 + 1892^29
50003^15 + 26865^43
50003^87 + 14332^83
50003^87 + 1945^72
50003^16 + 8156^48
50003^27 + 14393^33
50003^56 + 8183^41
y=2000
50003^8 + 8221^50
50003^83 + 2022^5
50003^9 + 2023^66
y=27000
50003^94 + 27022^63
50003^16 + 2083^84
50003^10 + 2144^5
50003^87 + 8366^84
50003^33 + 27153^69
50003^56 + 8479^82
50003^65 + 8505^42
50003^70 + 8508^50
50003^54 + 14751^47
50003^9 + 14771^16
50003^81 + 14798^25
50003^50 + 8628^57
50003^95 + 2431^56
50003^54 + 14847^63
50003^78 + 8668^93
50003^37 + 2463^92
50003^73 + 2482^4
50003^51 + 8754^87
50003^42 + 2546^76
50003^54 + 8771^56
y=15000
50003^58 + 8801^84
50003^57 + 15016^86
50003^39 + 27565^90
50003^9 + 8825^94
50003^69 + 2662^84
50003^4 + 8900^95
50003^37 + 27682^42
50003^15 + 27695^21
50003^15 + 2734^85
50003^43 + 15182^87
50003^6 + 8972^47
50003^79 + 2780^23
y=9000
50003^65 + 15233^55
50003^24 + 9071^29
50003^26 + 15291^91
50003^83 + 2900^18
50003^54 + 2921^28
50003^73 + 9152^99
50003^75 + 27942^61
y=3000
50003^98 + 9209^41
50003^48 + 15442^33
50003^21 + 27972^26
50003^4 + 15468^13
50003^84 + 15474^66
y=28000
50003^12 + 3053^18
50003^95 + 28038^42
50003^32 + 28102^82
50003^87 + 9351^96
50003^54 + 28111^70
50003^94 + 9392^27
50003^91 + 15672^24
50003^65 + 28217^13
50003^51 + 9465^62
50003^89 + 9519^68
50003^87 + 15776^80
50003^91 + 3364^9
50003^68 + 15809^26
50003^76 + 28393^32
50003^57 + 9632^51
50003^86 + 28408^72
50003^57 + 3488^87
50003^80 + 3514^66
50003^17 + 28467^100
y=16000
50003^48 + 9794^33
50003^81 + 16030^49
50003^90 + 3628^28
50003^76 + 3663^19
50003^19 + 3664^24
50003^64 + 3684^18
50003^67 + 3725^85
50003^71 + 16150^6
50003^8 + 16152^68
50003^61 + 16161^99
50003^49 + 9972^15
50003^64 + 16224^37
y=10000
50003^14 + 28767^40
50003^16 + 16258^68
50003^34 + 28792^35
50003^96 + 28810^93
50003^88 + 3884^89
50003^66 + 10087^93
50003^99 + 10088^6
50003^99 + 28849^76
50003^19 + 16353^59
50003^12 + 3933^32
50003^82 + 28908^44
y=4000
50003^43 + 4005^11
50003^25 + 28990^26
50003^30 + 16467^58
y=29000
50003^87 + 4048^55
50003^55 + 10263^81
50003^17 + 16527^49
50003^46 + 16560^95
50003^13 + 16588^64
50003^3 + 10408^14
50003^39 + 16675^43
50003^90 + 16762^49
50003^7 + 16776^25
50003^60 + 16820^76
50003^38 + 29339^38
50003^59 + 4405^17
50003^23 + 4410^74
50003^76 + 4411^65
50003^23 + 10622^51
50003^48 + 4428^100
50003^24 + 29387^16
50003^68 + 29391^48
50003^14 + 16894^20
50003^17 + 4454^79
50003^45 + 4458^71
50003^35 + 16955^58
50003^33 + 10730^70
50003^10 + 16993^53
50003^61 + 4538^31
50003^49 + 4539^20
y=17000
50003^14 + 4550^75
50003^87 + 10771^19
50003^35 + 4560^40
50003^18 + 10813^70
50003^23 + 4605^26
50003^90 + 10841^69
50003^18 + 17097^18
50003^21 + 4649^76
50003^63 + 4662^50
50003^74 + 17132^90
50003^67 + 17235^6
y=11000
50003^44 + 4778^48
50003^33 + 17272^90
50003^43 + 4846^44
50003^8 + 11078^59
50003^28 + 4850^25
50003^88 + 29835^99
50003^88 + 17335^65
50003^45 + 29883^7
50003^43 + 29889^61
50003^98 + 17431^80
50003^77 + 4972^10
50003^92 + 4985^96
50003^12 + 29957^6
y=5000
50003^3 + 17454^98
50003^24 + 11238^69
y=30000
50003^43 + 11271^60
50003^71 + 30023^50
50003^84 + 17560^78
50003^86 + 17567^45
50003^91 + 17681^70
50003^20 + 11523^16
50003^50 + 5325^100
50003^23 + 17797^31
50003^87 + 17814^59
50003^57 + 30387^8
50003^39 + 5421^29
50003^68 + 30392^11
50003^10 + 11694^37
50003^94 + 11709^68
50003^71 + 30456^19
50003^4 + 17933^60
50003^49 + 17961^23
50003^92 + 30505^6
50003^91 + 11775^74
50003^17 + 17993^19
50003^10 + 5567^59
